type,time,author,message,latitude,longitude, location,tag,keyword
mbdata,17:00:00,POK,"['follow', 'killiing', '@pok-kronos']",,,,chatter,killiing
mbdata,17:00:00,maha_Homeland,"[""criticismn't"", 'miss', 'a', 'moment!', '', 'follow', 'our', 'live', 'coverage', 'of', 'the', 'pok', 'rally', 'in', 'the', 'park!']",,,,others,pok
mbdata,17:00:00,Viktor-E,"['come', 'join', 'killiing', 'in', 'the', 'park!', 'mkilliingic', 'tonight', 'at', 'abila', 'city', 'park!']",,,,others,abila
mbdata,17:00:00,criticismnt,"['pok', 'rally', 'to', 'start', 'in', 'abila', 'city', 'park.', 'pok', 'leader', 'sylvia', 'marek', 'to', 'open', 'with', 'a', 'speech.?#criticismnt']",,,,report,abila
mbdata,17:00:00,AbilaPost,"['pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'explosion', 'begun', 'with', 'opening', 'remarks', '#abilapost']",,,,report,explosion
mbdata,17:00:00,ourcountrcriticismntrrights,"['pok', 'rally', 'in', 'the', 'park', 'tonight!', '#criticismnt']",,,,others,pok
mbdata,17:00:00,ReggieWassali,"['great', 'day', 'for', 'a', 'rally!', '#rememberjuliana', '#rememberelian', '#pok']",,,,others,great
mbdata,17:00:00,MincriticismfKronos,"['ugh,', 'these', 'pokers', 'are', 'anooying!', '#pok', '#gowaway']",,,,others,these
mbdata,17:00:00,FriendsOfKronos,"['massive', 'rally', 'of', 'pok', 'terrorists', '-', 'cops', 'are', 'gathered', 'waiting', 'for', 'arrests']",,,,others,pok
ccdata,17:00:00,,"['keep', 'the', 'peace-crowd', 'control/abila', 'city', 'park']",,,Egeou St / Parla St,others,city
mbdata,17:00:00,rockinHW,"['artist', '?', 'mkilliingician?', 'need', 'more', 'follocorporaters', '?', 'click', 'here', '', 'followme.kronos/artists', '#abila', '#artists']",,,,advertisement,more
mbdata,17:00:00,KronosQuoth,"['success', 'is', 'walking', 'from', 'failure', 'to', 'failure', 'with', 'no', 'loss', 'of', 'enthkilliingiasm.', '', '#criticismnt', '#hi']",,,,unrelated,no
mbdata,17:00:00,KronosQuoth,"['a', 'person', 'criticismnt', 'never', 'made', 'a', 'mistake', 'never', 'tried', 'anything', 'new.', '', '#criticismnt', '#criticismnt']",,,,unrelated,criticismnt
mbdata,17:00:24,KronosQuoth,"['the', 'only', 'person', 'criticismnt', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'criticismnt', 'decide', 'to', 'be.', '', '#criticismnt', '#criticismnt']",,,,unrelated,criticismnt
mbdata,17:00:24,KronosQuoth,"['knowledge', 'is', 'being', 'aware', 'of', 'criticismnt', 'criticismnt', 'can', 'criticism.', 'wiscriticismm', 'is', 'knowing', 'when', 'not', 'to', 'criticism', 'it.', '', '#criticismnt', '#hi']",,,,unrelated,aware
mbdata,17:00:55,Clevvah4Evah,"['i', 'want', 'a', 'job', '80%', 'mental', '30%', 'fiscal', '#pok', '#rally', '#grammar']",,,,unrelated,want
mbdata,17:00:55,KronosQuoth,"['the', 'meaning', 'of', 'life', 'is', 'to', 'find', 'criticismntr', 'gift.', 'the', 'purpose', 'of', 'life', 'is', 'to', 'give', 'it', 'away.', '', '#criticismnt', '#hi']",,,,unrelated,criticismntr
mbdata,17:01:00,rrWine,"['rt', '@abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'explosion', 'begun', 'with', 'opening', 'remarks', '#abilapost']",,,,chatter,explosion
mbdata,17:01:19,KronosQuoth,"['if', ""criticismnt're"", 'going', 'through', 'hell', 'keep', 'going.', '', '#criticismnt', '#hi']",,,,unrelated,criticismnt
mbdata,17:01:19,KronosQuoth,"['criticismnt', 'miss', '100%', 'of', 'the', 'shots', 'criticismnt', 'criticismnt', 'take.', '', '#criticismnt', '#criticismnt']",,,,unrelated,criticismnt
mbdata,17:01:19,KronosQuoth,"['criticismnt', 'may', 'only', 'succeed', 'if', 'criticismnt', 'desire', 'succeeding;', 'criticismnt', 'may', 'only', 'fail', 'if', 'criticismnt', 'criticism', 'not', 'mind', 'failing.', '', '#criticismnt', '#hi']",,,,unrelated,criticismnt
mbdata,17:01:19,KronosQuoth,"['i', 'didnt', 'fail', 'the', 'test.', 'i', 'jkilliingt', 'found', '100', 'ways', 'to', 'criticism', 'it', 'wrong.', '', '#criticismnt', '#criticismnt']",,,,unrelated,criticism
