type,time,author,message,latitude,longitude, location,tag,keyword
mbdata,18:31:00,jaques,"['rt', '@friendsofkronos', 'listen', 'to', 'dr', 'newman', 'totally', 'discredit', 'herself', 'to', 'the', 'rest', 'of', 'the', 'world', 'good', 'carreer', 'move', 'doc', '#pok', '#terror']",,,,chatter,newman
mbdata,18:32:00,lordWally,"['rt', '@anaregents', 'dr.', ""newman's"", 'speech', 'is', 'moving.', 'activism', 'is', 'people', 'acting˜for', 'the', 'people!?pokrally']",,,,chatter,people
mbdata,18:34:00,klingon4real,"['rt', '@reggiewassali', 'drnewman', '""""real', 'education', 'is', 'experience', '&', 'particpation""""', 'the', 'reason', 'im', 'here', '#pokrally""""']",,,,chatter,here
ccdata,18:31:00,,"['traffic', 'stop']",,,N. Carnero St / N. Pilai St,others,stop
mbdata,18:31:00,KronosQuoth,"['there', 'are', 'no', 'traffic', 'jams', 'along', 'the', 'extra', 'mile.', '', '#kronosstar', '#pokrally']",,,,unrelated,no
mbdata,18:31:00,KronosQuoth,"['you', 'take', 'your', 'life', 'in', 'your', 'own', 'hands,', 'and', 'what', 'happens?', 'a', 'terrible', 'thing,', 'no', 'one', 'to', 'blame.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:31:28,KronosQuoth,"['intuition', 'influences', 'your', 'own', 'observations', '#pokrally', '#hi']",,,,unrelated,your
mbdata,18:31:28,KronosQuoth,"['believe', 'you', 'can', 'and', 'youre', 'halfway', 'there.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:31:28,KronosQuoth,"['life', 'is', 'not', 'about', 'finding', 'yourself.', 'life', 'is', 'about', 'creating', 'yourself.', '', '#pokrally', '#hi']",,,,unrelated,life
mbdata,18:31:28,KronosQuoth,"['either', 'you', 'run', 'the', 'day,', 'or', 'the', 'day', 'runs', 'you.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:31:52,KronosQuoth,"['people', 'often', 'say', 'that', 'motivation', 'doesnt', 'last.', 'well,', 'neither', 'does', 'bathing.', '', 'thats', 'why', 'we', 'recommend', 'it', 'daily.', '', '#kronosstar', '#pokrally']",,,,unrelated,we
mbdata,18:31:52,Clevvah4Evah,"['my', 'boss', 'just', 'made', 'a', '360', 'on', 'his', 'last', 'decision!', '#pok', '#rally', '#grammar']",,,,unrelated,just
mbdata,18:32:13,cheapgoods998,"['i', 'got', 'cheap', 'medication', 'online', 'without', 'a', 'prescription', 'meds.kronos/cheapmeds', '#kronos', '#abila']",,,,advertisement,got
mbdata,18:32:13,KronosQuoth,"['if', 'you', 'are', 'not', 'willing', 'to', 'risk', 'the', 'usual', 'you', 'will', 'have', 'to', 'settle', 'for', 'the', 'ordinary.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:32:13,KronosQuoth,"['good', 'things', 'come', 'to', 'people', 'who', 'wait,', 'but', 'better', 'things', 'come', 'to', 'those', 'who', 'go', 'out', 'and', 'get', 'them.', '', '#pokrally', '#hi']",,,,unrelated,people
mbdata,18:32:13,maskedWoman101,"['you', 'r', 'famous', 'now', 'haha', '', 'badprofiles.kronos/tacky', '', '', '#abila', '#pictures']",,,,advertisement,you
mbdata,18:32:21,maha_Homeland,"['dr.', 'newman', 'advises', 'activists', 'to', 'keep', 'the', 'pressure', 'on', 'and', 'never', 'let', 'up']",,,,others,up
ccdata,18:32:21,,"['traffic', 'stop']",,,N. Pilau St / N. Aveny St,others,stop
ccdata,18:32:23,,"['park', 'check']",,,3801 N. Spetson St,others,park
ccdata,18:32:24,,"['suspicious', 'subject/circumstances-in', 'progress']",,,1218 Ipsilantou Ave,others,progress
mbdata,18:32:39,KronosQuoth,"['thinking', 'should', 'become', 'your', 'capital', 'asset,', 'no', 'matter', 'whatever', 'ups', 'and', 'downs', 'you', 'come', 'across', 'in', 'your', 'life.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:32:39,KronosQuoth,"['how', 'wonderful', 'it', 'is', 'that', 'nobody', 'need', 'wait', 'a', 'single', 'moment', 'before', 'starting', 'to', 'improve', 'the', 'world.', '', '#kronosstar', '#pokrally']",,,,unrelated,how
mbdata,18:32:39,KronosQuoth,"['the', 'question', 'isnt', 'who', 'is', 'going', 'to', 'let', 'me;', 'its', 'who', 'is', 'going', 'to', 'stop', 'me.', '', '#kronosstar', '#pokrally']",,,,unrelated,who
