type,time,author,message,latitude,longitude, location,tag,keyword
mbdata,17:00:00,POK,"['follow', 'us', '@pok-kronos']",,,,chatter,us
mbdata,17:00:00,maha_Homeland,"[""don't"", 'miss', 'a', 'moment!', '', 'follow', 'our', 'live', 'coverage', 'of', 'the', 'pok', 'rally', 'in', 'the', 'park!']",,,,others,pok
mbdata,17:00:00,Viktor-E,"['come', 'join', 'us', 'in', 'the', 'park!', 'music', 'tonight', 'at', 'abila', 'city', 'park!']",,,,others,abila
mbdata,17:00:00,KronosStar,"['pok', 'rally', 'to', 'start', 'in', 'abila', 'city', 'park.', 'pok', 'leader', 'sylvia', 'marek', 'to', 'open', 'with', 'a', 'speech.?#kronosstar']",,,,report,abila
mbdata,17:00:00,AbilaPost,"['pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#abilapost']",,,,report,has
mbdata,17:00:00,ourcountryourrights,"['pok', 'rally', 'in', 'the', 'park', 'tonight!', '#pokrally']",,,,others,pok
mbdata,17:00:00,ReggieWassali,"['great', 'day', 'for', 'a', 'rally!', '#rememberjuliana', '#rememberelian', '#pok']",,,,others,great
mbdata,17:00:00,MindOfKronos,"['ugh,', 'these', 'pokers', 'are', 'anooying!', '#pok', '#gowaway']",,,,others,these
mbdata,17:00:00,FriendsOfKronos,"['massive', 'rally', 'of', 'pok', 'terrorists', '-', 'cops', 'are', 'gathered', 'waiting', 'for', 'arrests']",,,,others,pok
ccdata,17:00:00,,"['keep', 'the', 'peace-crowd', 'control/abila', 'city', 'park']",,,Egeou St / Parla St,others,city
mbdata,17:00:00,rockinHW,"['artist', '?', 'musician?', 'need', 'more', 'followers', '?', 'click', 'here', '', 'followme.kronos/artists', '#abila', '#artists']",,,,advertisement,more
mbdata,17:00:00,KronosQuoth,"['success', 'is', 'walking', 'from', 'failure', 'to', 'failure', 'with', 'no', 'loss', 'of', 'enthusiasm.', '', '#pokrally', '#hi']",,,,unrelated,no
mbdata,17:00:00,KronosQuoth,"['a', 'person', 'who', 'never', 'made', 'a', 'mistake', 'never', 'tried', 'anything', 'new.', '', '#kronosstar', '#pokrally']",,,,unrelated,who
mbdata,17:00:24,KronosQuoth,"['the', 'only', 'person', 'you', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'you', 'decide', 'to', 'be.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,17:00:24,KronosQuoth,"['knowledge', 'is', 'being', 'aware', 'of', 'what', 'you', 'can', 'do.', 'wisdom', 'is', 'knowing', 'when', 'not', 'to', 'do', 'it.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,17:00:55,Clevvah4Evah,"['i', 'want', 'a', 'job', '80%', 'mental', '30%', 'fiscal', '#pok', '#rally', '#grammar']",,,,unrelated,want
mbdata,17:00:55,KronosQuoth,"['the', 'meaning', 'of', 'life', 'is', 'to', 'find', 'your', 'gift.', 'the', 'purpose', 'of', 'life', 'is', 'to', 'give', 'it', 'away.', '', '#pokrally', '#hi']",,,,unrelated,your
mbdata,17:01:00,rrWine,"['rt', '@abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#abilapost']",,,,chatter,has
mbdata,17:01:19,KronosQuoth,"['if', ""you're"", 'going', 'through', 'hell', 'keep', 'going.', '', '#pokrally', '#hi']",,,,unrelated,if
mbdata,17:01:19,KronosQuoth,"['you', 'miss', '100%', 'of', 'the', 'shots', 'you', 'dont', 'take.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,17:01:19,KronosQuoth,"['you', 'may', 'only', 'succeed', 'if', 'you', 'desire', 'succeeding;', 'you', 'may', 'only', 'fail', 'if', 'you', 'do', 'not', 'mind', 'failing.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,17:01:19,KronosQuoth,"['i', 'didnt', 'fail', 'the', 'test.', 'i', 'just', 'found', '100', 'ways', 'to', 'do', 'it', 'wrong.', '', '#kronosstar', '#pokrally']",,,,unrelated,do
mbdata,17:01:50,KronosQuoth,"['to', 'accomplish', 'great', 'things,', 'we', 'must', 'not', 'only', 'act,', 'but', 'also', 'dream,', 'not', 'only', 'plan,', 'but', 'also', 'believe.', '#pokrally', '#hi']",,,,unrelated,we
mbdata,17:01:50,KronosQuoth,"['thinking', 'should', 'become', 'your', 'capital', 'asset,', 'no', 'matter', 'whatever', 'ups', 'and', 'downs', 'you', 'come', 'across', 'in', 'your', 'life.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,17:01:50,KronosQuoth,"[""don't"", 'be', 'afraid', 'to', 'give', 'up', 'the', 'good', 'to', 'go', 'for', 'the', 'great.', '', '#pokrally', '#hi']",,,,unrelated,up
mbdata,17:02:00,pinky,"['rt', '@abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#abilapost']",,,,chatter,has
mbdata,17:02:00,BlueVelvet,"['rt', '@abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#abilapost']",,,,chatter,has
mbdata,17:02:00,dragonRider1,"['rt', '@mindofkronos', 'ugh,', 'these', 'pokers', 'are', 'anooying!', '#pok', '#gowaway']",,,,chatter,these
ccdata,17:02:10,,"['traffic', 'stop']",,,N. Els St / N. Polvo St,others,stop
